Age,Emotion,Entry Time
18.88,Sad,2024-12-22 10:20:47.306423
17.57,Sad,2024-12-22 10:20:47.615907
19.81,Sad,2024-12-22 10:20:47.824160
25.62,Sad,2024-12-22 10:20:47.964992
16.37,Sad,2024-12-22 10:20:48.100201
17.8,Sad,2024-12-22 10:20:48.229768
16.48,Sad,2024-12-22 10:20:48.404418
21.48,Sad,2024-12-22 10:20:48.563873
17.4,Sad,2024-12-22 10:20:49.085315
16.6,Happy,2024-12-22 10:20:49.729484
14.33,Sad,2024-12-22 10:20:49.893689
15.85,Sad,2024-12-22 10:20:50.090183
19.17,Happy,2024-12-22 10:20:50.203164
14.35,Happy,2024-12-22 10:20:50.319047
18.15,Happy,2024-12-22 10:20:50.434407
29.36,Sad,2024-12-22 10:20:50.565233
20.24,Angry,2024-12-22 10:20:50.728673
